epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,20.1519,0.63968,0.54925,0.87706,0.98798,1,0.995,0.78039,0.75294,1.11829,0.85281,0.000381304,0.000381304,0.000381304
40,20.6285,0.62663,0.53503,0.88065,0.98798,1,0.995,0.78039,0.75294,1.11829,0.85281,0.000359924,0.000359924,0.000359924
41,37.2904,0.60598,0.59661,0.85545,0.98631,1,0.995,0.79835,0.7503,1.07059,0.8586,0.00033696,0.00033696,0.00033696
42,37.8209,0.64801,0.61818,0.845,0.98171,1,0.995,0.78688,0.74599,1.04629,0.8552,0.000312412,0.000312412,0.000312412
43,38.289,0.58177,0.59845,0.85822,0.98171,1,0.995,0.78688,0.74599,1.04629,0.8552,0.00028628,0.00028628,0.00028628
44,38.785,0.60008,0.58788,0.83871,0.98269,1,0.995,0.79791,0.74469,1.02179,0.84176,0.000258564,0.000258564,0.000258564
45,39.2567,0.58759,0.55203,0.83529,0.98269,1,0.995,0.79791,0.74469,1.02179,0.84176,0.000229264,0.000229264,0.000229264
46,39.8294,0.58773,0.54803,0.84026,0.98564,1,0.995,0.8115,0.73242,1.00642,0.82545,0.00019838,0.00019838,0.00019838
47,40.3001,0.59625,0.59229,0.85619,0.98564,1,0.995,0.8115,0.73242,1.00642,0.82545,0.000165912,0.000165912,0.000165912
48,40.7911,0.59568,0.56562,0.84072,0.98559,1,0.995,0.8115,0.72713,0.96423,0.82394,0.00013186,0.00013186,0.00013186
49,41.2561,0.57756,0.56197,0.85164,0.98559,1,0.995,0.8115,0.72713,0.96423,0.82394,9.6224e-05,9.6224e-05,9.6224e-05
50,41.7479,0.57777,0.55923,0.84803,0.98615,1,0.995,0.79884,0.71778,0.91471,0.82702,5.9004e-05,5.9004e-05,5.9004e-05
